Af,wf,fbeat,f1,f2,fase,dfase
0.001,165.0,175.0,1469.0,1644.0,-49.21978087647117,35.68736916609305
0.001,166.0,175.0,1469.0,1644.0,-44.50527246979165,32.59217650469111
0.001,167.0,175.0,1469.0,1644.0,-39.79431412924694,29.409062309642877
0.001,168.0,175.0,1469.0,1644.0,-35.07853913794949,26.3207802309945
0.001,169.0,175.0,1469.0,1644.0,-30.368532104724228,23.124923042494288
0.001,170.0,175.0,1469.0,1644.0,-25.649918578781264,20.047205833682938
0.001,171.0,175.0,1469.0,1644.0,-20.942294799672123,16.826420304099088
0.001,172.0,175.0,1469.0,1644.0,-16.21503061202374,13.76629297480281
0.001,173.0,175.0,1469.0,1644.0,-11.517140381952093,10.497833783526403
0.001,174.0,175.0,1469.0,1644.0,-6.727981577321257,7.622842219070094
0.001,175.0,175.0,1469.0,1645.0,-2.7706777539757153,3.7105010228920037
0.001,176.0,175.0,1469.0,1644.0,2.79231198610912,5.0664386903287095
0.001,177.0,175.0,1469.0,1644.0,7.257621363288395,7.598293421196217
0.001,178.0,175.0,1469.0,1644.0,12.027302363671277,10.778167195928859
0.001,179.0,175.0,1469.0,1644.0,16.72716878773008,13.777123675725989
0.001,180.0,175.0,1469.0,1644.0,21.45276044536291,16.916289329108054
0.001,181.0,175.0,1469.0,1644.0,26.160742908168487,19.970018074573545
0.001,182.0,175.0,1469.0,1644.0,30.878932886348384,23.11074127986069
0.001,183.0,175.0,1469.0,1644.0,35.58903047795625,26.192683140478607
0.001,184.0,175.0,1469.0,1644.0,40.30464779240532,29.32900423437343
0.001,185.0,175.0,1469.0,1644.0,45.01563359422075,32.42094900826419
0.001,186.0,175.0,1469.0,1644.0,49.73007346118929,35.55211003226066
0.001,187.0,175.0,1469.0,1644.0,54.44147656109819,38.65430880020176
0.001,188.0,175.0,1469.0,1644.0,59.15527652761512,41.77774941405562
0.001,189.0,175.0,1469.0,1644.0,63.86693169334082,44.88716062889239
0.001,190.0,175.0,1469.0,1644.0,68.58034256567394,48.00489854657519
0.001,191.0,175.0,1469.0,1644.0,73.292155831418,51.11968810585472
0.001,192.0,175.0,1469.0,1644.0,78.00531503303316,54.23301482187787
0.001,193.0,175.0,1469.0,1644.0,82.71723430170252,57.351998038550846
0.001,194.0,175.0,1469.0,1644.0,87.4302189637197,60.461795792001226
0.001,195.0,175.0,1469.0,1644.0,92.14221246672385,63.58414382113688
0.001,196.0,175.0,1469.0,1644.0,96.85507241993082,66.69104728085006
0.001,197.0,175.0,1469.0,1644.0,101.56711691351846,69.81618135686767
0.001,198.0,175.0,1469.0,1644.0,106.27989200842235,72.92064982700981
0.001,199.0,175.0,1469.0,1644.0,110.99197950076706,76.04808836962673
0.001,200.0,175.0,1469.0,1644.0,115.70467708408185,79.15052344953426
0.001,201.0,175.0,1469.0,1644.0,120.4167972626528,82.27993645013703
0.001,202.0,175.0,1469.0,1644.0,125.12943758109859,85.38061093933004
0.001,203.0,175.0,1469.0,1644.0,129.8415849160709,88.51171092998584
0.001,204.0,175.0,1469.0,1644.0,134.5541828458271,91.61086317066349
0.001,205.0,175.0,1469.0,1644.0,139.26634485099143,94.74342834320555
0.001,206.0,175.0,1469.0,1644.0,143.97890261492685,97.84346995806015
0.001,207.0,175.0,1469.0,1644.0,148.6910572966294,100.97507481723937
